molecule_chembl_id,canonical_smiles,source
CHEMBL13983,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,chembl_nonmodeled
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,chembl_nonmodeled
CHEMBL131921,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,chembl_nonmodeled
CHEMBL17329,COC(=O)/C=C/c1cc(O)ccc1O,chembl_nonmodeled
CHEMBL241609,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,chembl_nonmodeled
CHEMBL2315409,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C1=O,chembl_nonmodeled
CHEMBL2315410,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C2=O)[C@@H]1C,chembl_nonmodeled
CHEMBL2315696,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C1=O,chembl_nonmodeled
CHEMBL2315697,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,chembl_nonmodeled
CHEMBL2315698,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C1=O,chembl_nonmodeled
CHEMBL2315699,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,chembl_nonmodeled
CHEMBL2315700,CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N[C@@H](CO)C(=O)O)C3=O)[C@@H](C)CC[C@]12C,chembl_nonmodeled
CHEMBL2315701,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(NCC(=O)O)C1=O,chembl_nonmodeled
