canonical_smiles,pIC50,IC50_nM,activity_class,n_measurements,pIC50_std,pIC50_min,pIC50_max,molecule_chembl_id,molecule_chembl_ids,n_molecules
Brc1cc2c(NCc3ccccc3)ncnc2s1,6.617982957425132,240.99999999999997,0,1,,6.617982957425132,6.617982957425132,CHEMBL3416599,CHEMBL3416599,1
Brc1cc2c(NCc3ccccn3)ncnc2s1,5.102153068420428,7904.000000000006,0,1,,5.102153068420428,5.102153068420428,CHEMBL3416616,CHEMBL3416616,1
Brc1cc2c(NCc3cccs3)ncnc2s1,5.862013267276469,1373.999999999999,0,1,,5.862013267276469,5.862013267276469,CHEMBL3416619,CHEMBL3416619,1
Brc1cc2c(NCc3ccncc3)ncnc2s1,5.410832609453952,3883.000000000001,0,1,,5.410832609453952,5.410832609453952,CHEMBL3416614,CHEMBL3416614,1
Brc1cc2c(Nc3ccccc3)ncnc2s1,7.096910013008056,80.00000000000003,1,1,,7.096910013008056,7.096910013008056,CHEMBL3416621,CHEMBL3416621,1
Brc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,6.1487416512809245,710.0000000000003,0,1,,6.1487416512809245,6.1487416512809245,CHEMBL2325098,CHEMBL2325098,1
Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,6.309803919971486,490.0000000000002,0,1,,6.309803919971486,6.309803919971486,CHEMBL2325091,CHEMBL2325091,1
Brc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(Br)cc3)C2)cc1,5.048176964684088,8950.000000000002,0,1,,5.048176964684088,5.048176964684088,CHEMBL1821878,CHEMBL1821878,1
Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.504455662453552,3129.999999999999,0,1,,5.504455662453552,5.504455662453552,CHEMBL1928712,CHEMBL1928712,1
Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.872363747448347,13416.407864998744,0,2,0.4942464299119894,4.522878745280337,5.221848749616356,CHEMBL381306,CHEMBL381306,1
