molecule_chembl_id,canonical_smiles,tuned_predicted_pIC50,rank_eligible,max_train_tanimoto,AD_category,historical_error_context,murcko_scaffold,same_scaffold_in_canonical_train,pred_mean,pred_sd,pred_median,rank_mean,rank_median,rank_min,rank_max,top5_freq,top10_freq,top20_freq,n_valid,MW,cLogP,TPSA,HBD,HBA,QED,ESOL_logS,Lipinski_ok,Veber_ok,ADMET_ok,affinity_kcal_mol,docking_status,m7_rank,docking_hit,confidence_tier,external_evidence,potential,stability_label,tier
CHEMBL13983,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,5.932621772289276,4,0.6388888888888888,MODERATE,MAE ~0.63,O=C1Nc2ccccc2C1=Cc1cc(C(=O)NCC2CCNCC2)c[nH]1,False,5.798300690931163,0.12208189987868144,5.79974988603592,10.64,9.0,3,27,0.24,0.56,0.92,25,410.493,3.335,77.23,3,3,0.6769,-4.493,True,True,True,-9.22,SUPPORTIVE,7.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,GOOD,Tier 1
CHEMBL5564149,CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(N)c(C#N)c(-c3cccs3)cc12,6.119193044900894,3,0.3095238095238095,OOD,MAE ~1.07 (high-error region),O=c1c2ccc(-c3cccs3)cc2cnn1-c1ccccc1,False,6.1172869620134644,0.11682800423557899,6.12924410641761,2.44,2.0,2,5,1.0,1.0,1.0,25,416.462,3.745,111.0,1,7,0.4006,-5.035,True,True,True,-9.079,SUPPORTIVE,8.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,GOOD,Tier 2
CHEMBL131921,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,5.8746152983578765,7,0.75,MODERATE,MAE ~0.63,O=c1c(-c2ccccc2)coc2ccccc12,True,5.741506075275769,0.1261178619436039,5.7873810106438475,13.16,12.0,3,27,0.12,0.48,0.76,25,284.267,2.88,79.9,2,5,0.756,-3.849,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,MODERATE,Tier 2
CHEMBL2315700,CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N[C@@H](CO)C(=O)O)C3=O)[C@@H](C)CC[C@]12C,5.83989722583029,8,0.1682242990654205,OOD,MAE ~1.07 (high-error region),O=C1C=CC(=O)C(CC2CCCC3C=CCCC32)=C1,False,5.744568893313938,0.1371417729939191,5.769472189346949,12.92,9.0,4,35,0.08,0.64,0.8,25,431.529,3.058,123.93,4,6,0.3763,-4.046,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,GOOD,Tier 2
CHEMBL243664,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5.714256839249035,14,0.5833333333333334,LOWER,MAE ~0.82,O=c1cc(-c2ccccc2)oc2ccccc12,True,5.745249905782693,0.17458300444901656,5.751700328357072,12.92,10.0,2,35,0.2,0.52,0.8,25,284.267,2.88,79.9,2,5,0.756,-3.849,True,True,True,-8.644,SUPPORTIVE,5.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,GOOD,Tier 2
CHEMBL2316916,COc1ccc(Cc2nc(-c3cc(Br)c(OCCCN(C)C)c(Br)c3)c[nH]c2=O)cc1Br,6.639241706000433,1,0.3043478260869565,OOD,MAE ~1.07 (high-error region),O=c1[nH]cc(-c2ccccc2)nc1Cc1ccccc1,False,6.633909984623671,0.08859581109986572,6.6449536983172095,1.0,1.0,1,1,1.0,1.0,1.0,25,630.175,5.654,67.45,1,5,0.3099,-7.132,False,True,False,-7.735,SUPPORTIVE,10.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,GOOD,Tier 3
CHEMBL5614250,COC(=O)c1c(C(F)(F)F)nc2c(c1-c1ccc(S(=O)(=O)c3ccccc3)cc1)C(=O)CC(C)(C)C2,6.1574010780122554,2,0.430379746835443,LOWER,MAE ~0.82,O=C1CCCc2nccc(-c3ccc(S(=O)(=O)c4ccccc4)cc3)c21,False,5.9162830330421805,0.14388701856992298,5.932345127662023,5.92,4.0,2,21,0.8,0.88,0.96,25,517.525,5.542,90.4,0,6,0.4222,-6.646,False,True,False,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,GOOD,Tier 3
CHEMBL554993,COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C3=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O)C(=O)c1cc(O)c(C)cc1C2=O,5.914668312867483,5,0.3088235294117647,OOD,MAE ~1.07 (high-error region),O=C1c2ccccc2C(=O)c2cc(-c3cccc4c3C(=O)C3=C(CCCC3)C4=O)ccc21,False,5.884328990908728,0.11706783468145161,5.882825481573741,6.84,5.0,3,19,0.64,0.88,1.0,25,618.547,1.094,228.35,7,13,0.1708,-4.462,False,False,False,-9.936,SUPPORTIVE,9.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,GOOD,Tier 3
CHEMBL512054,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,5.9026687916119895,6,0.3333333333333333,OOD,MAE ~1.07 (high-error region),O=C1C2=C(CCCC2)C(=O)c2ccccc21,False,5.974982698315484,0.10914734470879284,5.9666180044545065,4.16,4.0,2,9,0.8,1.0,1.0,25,336.296,-1.076,144.52,5,8,0.4356,-1.366,True,False,False,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,GOOD,Tier 3
CHEMBL4531006,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)c(Br)c32)N1,5.785586880842844,9,0.208955223880597,OOD,MAE ~1.07 (high-error region),N=C1NC(=O)C(=C2CCNC(=O)c3[nH]ccc32)N1,False,5.546825548614926,0.16818801010551376,5.538093784650167,27.92,26.0,6,51,0.0,0.08,0.36,25,403.034,1.038,109.87,5,3,0.4179,-3.178,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,WEAK,Tier 3
CHEMBL241609,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,5.74369409845333,10,0.7837837837837838,MODERATE,MAE ~0.63,O=c1c(-c2ccccc2)coc2ccccc12,True,5.623422428525519,0.16146561784507135,5.709415955999943,21.16,16.0,7,42,0.0,0.16,0.6,25,286.239,2.282,111.13,4,6,0.5106,-3.55,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,HIGH,WEAK,Tier 3
CHEMBL485475,O=c1c(-c2ccc(O)cc2)c(CN2CCCCC2)oc2cc(O)cc(O)c12,5.732817651555652,11,0.4339622641509434,LOWER,MAE ~0.82,O=c1c(-c2ccccc2)c(CN2CCCCC2)oc2ccccc12,False,5.690109416885491,0.12391420141479445,5.720489731379918,15.84,15.0,6,32,0.0,0.36,0.68,25,367.401,3.563,94.14,3,6,0.6552,-4.603,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,MODERATE,Tier 3
CHEMBL520144,COc1cc(O)c2c(=O)oc3c(O)c(O)cc(C)c3c2c1,5.73268210140864,12,0.4634146341463415,LOWER,MAE ~0.82,O=c1oc2ccccc2c2ccccc12,False,5.587148903194444,0.0862073321471108,5.59278312995647,23.24,23.0,12,36,0.0,0.0,0.4,25,288.255,2.38,100.13,3,6,0.3609,-3.554,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL491174,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,5.731033381938934,13,0.725,MODERATE,MAE ~0.63,O=c1c(-c2ccccc2)coc2ccccc12,True,5.67564458309085,0.06630970175101716,5.697159204141488,17.68,17.0,11,31,0.0,0.0,0.76,25,284.267,2.88,79.9,2,5,0.756,-3.849,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL4539558,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]cc(Br)c32)N1,5.7099654595057165,15,0.2272727272727272,OOD,MAE ~1.07 (high-error region),N=C1NC(=O)C(=C2CCNC(=O)c3[nH]ccc32)N1,False,5.531702901836274,0.16871272916614982,5.5788280002276105,29.2,27.0,11,53,0.0,0.0,0.4,25,324.138,0.276,109.87,5,3,0.4421,-2.218,True,True,True,-5.951,CONCERN,20.0,False,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL490960,CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,5.695550762321268,16,0.4693877551020408,LOWER,MAE ~0.82,O=c1c(-c2ccccc2)coc2ccccc12,True,5.536229519778448,0.11815975834293849,5.515740777878534,26.96,30.0,13,38,0.0,0.0,0.32,25,330.361,3.44,90.9,3,6,0.6813,-4.372,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL483428,CCOC(=O)CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,5.666013137503305,17,0.5230769230769231,LOWER,MAE ~0.82,O=c1c(-c2ccccc2)coc2ccccc12,True,5.5667702438524875,0.11999195415003654,5.603899885847424,25.04,23.0,12,40,0.0,0.0,0.36,25,402.424,3.373,117.2,3,8,0.5374,-4.487,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL489139,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,5.661048379256869,18,0.7884615384615384,MODERATE,MAE ~0.63,O=c1c(-c2ccccc2)coc2ccccc12,True,5.457659669053941,0.18538426065832364,5.535909825421342,33.44,28.0,9,52,0.0,0.04,0.16,25,342.303,2.754,117.2,3,7,0.6264,-3.973,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL483525,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,5.642614327748617,19,0.3043478260869565,OOD,MAE ~1.07 (high-error region),O=c1oc2ccccc2c2ccccc12,False,5.578206201324048,0.061345238876379445,5.590066658055111,24.48,23.0,14,39,0.0,0.0,0.16,25,338.293,1.847,134.27,3,7,0.3659,-3.42,True,True,True,-8.841,SUPPORTIVE,13.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL521470,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,5.641518894566429,20,0.2280701754385964,OOD,MAE ~1.07 (high-error region),O=C1CCC2c3c1cccc3-c1cccc3c1C2CCC3=O,False,5.460498209772109,0.09170979214475487,5.474516033331553,34.6,34.0,20,52,0.0,0.0,0.04,25,352.342,1.973,115.06,4,6,0.5762,-3.609,True,True,True,-9.518,SUPPORTIVE,6.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL242741,COc1c(O)cc(O)c2c(=O)c(-c3ccc(O)cc3)coc12,5.628858420530954,21,0.6739130434782609,MODERATE,MAE ~0.63,O=c1c(-c2ccccc2)coc2ccccc12,True,5.585810824468576,0.07765915849529624,5.585912394552004,24.36,23.0,12,39,0.0,0.0,0.16,25,300.266,2.585,100.13,3,6,0.6723,-3.737,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL484121,CC(C)(C)OC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,5.626034315109253,22,0.284313725490196,OOD,MAE ~1.07 (high-error region),O=C1C=CC(=O)C1=CNc1ccc(C(=O)OCCn2ccnc2)cc1,False,5.740536462424394,0.09530075297579038,5.746078358138049,12.52,11.0,4,32,0.08,0.4,0.88,25,468.466,2.836,142.66,1,9,0.1931,-4.176,True,False,False,-7.884,SUPPORTIVE,18.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,MODERATE,Tier 3
CHEMBL484321,CC(C)(C)OC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,5.626034315109253,23,0.284313725490196,OOD,MAE ~1.07 (high-error region),O=C1C=CC(=O)C1=CNc1ccc(C(=O)OCCn2ccnc2)cc1,False,5.740536462424394,0.09530075297579038,5.746078358138049,13.52,12.0,5,33,0.04,0.24,0.88,25,468.466,2.836,142.66,1,9,0.1931,-4.176,True,False,False,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL521472,Cc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,5.617603556300913,24,0.5348837209302325,LOWER,MAE ~0.82,O=c1c(-c2ccccc2)coc2ccccc12,True,5.478025151164243,0.13271215018057955,5.538147026216882,32.48,28.0,21,50,0.0,0.0,0.0,25,284.267,2.885,90.9,3,5,0.6388,-3.918,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL518986,O=c1c(-c2ccc(O)cc2)c(CSC2=NCCS2)oc2cc(O)cc(O)c12,5.616052944660186,25,0.3898305084745763,OOD,MAE ~1.07 (high-error region),O=c1c(-c2ccccc2)c(CSC2=NCCS2)oc2ccccc12,False,5.548031533541778,0.08613418683033275,5.54113468726476,27.0,28.0,15,36,0.0,0.0,0.24,25,401.465,3.913,103.26,3,8,0.6112,-5.035,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL490266,CC(C)(C)c1ccc(OC[C@@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,5.612580932776133,26,0.3039215686274509,OOD,MAE ~1.07 (high-error region),O=C1C=CC(=O)C1=CNc1ccc(C(=O)OC(COc2ccccc2)Cn2ccnc2)cc1,False,5.693744661104389,0.08988455326873313,5.703790508111318,17.04,16.0,8,30,0.0,0.08,0.72,25,544.564,4.397,142.66,1,9,0.1291,-5.641,True,False,False,-8.005,SUPPORTIVE,16.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL490267,CC(C)(C)c1ccc(OC[C@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,5.612580932776133,27,0.3039215686274509,OOD,MAE ~1.07 (high-error region),O=C1C=CC(=O)C1=CNc1ccc(C(=O)OC(COc2ccccc2)Cn2ccnc2)cc1,False,5.693744661104389,0.08988455326873313,5.703790508111318,18.04,17.0,9,31,0.0,0.04,0.68,25,544.564,4.397,142.66,1,9,0.1291,-5.641,True,False,False,-9.743,SUPPORTIVE,11.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL483526,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,5.610189750875746,28,0.3389830508474576,OOD,MAE ~1.07 (high-error region),O=c1oc2ccccc2c2ccccc12,False,5.4629854487136535,0.06467691524596618,5.452801947195121,33.56,34.0,22,40,0.0,0.0,0.0,25,272.256,2.674,79.9,2,5,0.5256,-3.665,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,MODERATE,WEAK,Tier 3
CHEMBL522082,COC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,5.588656685892838,29,0.6071428571428571,MODERATE,MAE ~0.63,O=c1c(-c2ccccc2)coc2ccccc12,True,5.4326610608906005,0.12993474622858164,5.456738631282031,36.32,34.0,19,53,0.0,0.0,0.04,25,328.276,2.363,117.2,3,7,0.6181,-3.726,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,LOW,WEAK,Tier 3
CHEMBL490773,CC(C)OC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,5.577083313703537,30,0.576271186440678,LOWER,MAE ~0.82,O=c1c(-c2ccccc2)coc2ccccc12,True,5.387748642768408,0.14026288689152322,5.422556121826172,40.56,38.0,25,53,0.0,0.0,0.0,25,356.33,3.142,117.2,3,7,0.6171,-4.286,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,LOW,WEAK,Tier 3
CHEMBL521184,O=c1c(-c2ccc(O)cc2)c(CNC2=NCCS2)oc2cc(O)cc(O)c12,5.572765600511006,31,0.3833333333333333,OOD,MAE ~1.07 (high-error region),O=c1c(-c2ccccc2)c(CNC2=NCCS2)oc2ccccc12,False,5.592533636657624,0.08780895220252105,5.584144550164541,23.36,23.0,10,32,0.0,0.04,0.32,25,384.413,2.769,115.29,4,8,0.5487,-4.208,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,LOW,WEAK,Tier 3
CHEMBL150,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5.5701316497978715,32,0.7837837837837838,MODERATE,MAE ~0.63,O=c1cc(-c2ccccc2)oc2ccccc12,True,5.43040960374162,0.128975740126856,5.490465985139211,37.04,37.0,25,50,0.0,0.0,0.0,25,286.239,2.282,111.13,4,6,0.5459,-3.55,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,LOW,WEAK,Tier 3
CHEMBL484119,COC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,5.565539372444153,33,0.3195876288659793,OOD,MAE ~1.07 (high-error region),O=C1C=CC(=O)C1=CNc1ccc(C(=O)OCCn2ccnc2)cc1,False,5.7103204073724525,0.09084873192243072,5.694698563549253,15.68,15.0,7,33,0.0,0.28,0.84,25,426.385,1.667,142.66,1,9,0.2081,-3.202,True,False,False,-7.438,MODERATE,12.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,LOW,MODERATE,Tier 3
CHEMBL484316,COC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,5.565539372444153,34,0.3195876288659793,OOD,MAE ~1.07 (high-error region),O=C1C=CC(=O)C1=CNc1ccc(C(=O)OCCn2ccnc2)cc1,False,5.7103204073724525,0.09084873192243072,5.694698563549253,16.68,16.0,8,34,0.0,0.12,0.8,25,426.385,1.667,142.66,1,9,0.2081,-3.202,True,False,False,-7.091,MODERATE,15.0,True,mid,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,LOW,WEAK,Tier 3
CHEMBL490980,NC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,5.5570273615774655,35,0.5263157894736842,LOWER,MAE ~0.82,O=c1c(-c2ccccc2)coc2ccccc12,True,5.35158471577798,0.16464405307651067,5.406974272795627,42.92,40.0,31,56,0.0,0.0,0.0,25,313.265,1.676,133.99,4,6,0.5684,-3.221,True,True,True,,INCOMPLETE,,False,,not established in repository; no curated EGFR IC50 or name metadata for this candidate-like molecule,LOW,WEAK,Tier 3
