molecule_chembl_id,split_seed,rf_seed,predicted_pIC50,rank,n_ranked_in_run,in_train_for_split
CHEMBL2316916,7,42,6.452488543192546,1,60,False
CHEMBL5614250,7,42,5.932345127662023,5,60,False
CHEMBL5564149,7,42,6.168364355564117,2,60,False
CHEMBL13983,7,42,5.841893582344055,6,60,False
CHEMBL554993,7,42,6.030900371869405,4,60,False
CHEMBL512054,7,42,6.053142285744349,3,60,False
CHEMBL131921,7,42,5.542006796598434,27,60,False
CHEMBL2315700,7,42,5.769472189346949,10,60,False
CHEMBL4531006,7,42,5.646168000130427,19,60,False
CHEMBL241609,7,42,5.315509924491247,42,60,False
CHEMBL485475,7,42,5.439113556782405,32,60,False
CHEMBL520144,7,42,5.547891573111216,24,60,False
CHEMBL491174,7,42,5.745029596487681,15,60,False
CHEMBL243664,7,42,5.4478112904230755,31,60,False
CHEMBL4539558,7,42,5.629536416227855,20,60,False
CHEMBL490960,7,42,5.375184256235759,37,60,False
CHEMBL483428,7,42,5.379260449965795,36,60,False
CHEMBL489139,7,42,5.195942852894465,52,60,False
CHEMBL483525,7,42,5.475816406408946,30,60,False
CHEMBL521470,7,42,5.515028502146403,28,60,False
CHEMBL242741,7,42,5.604012100458145,21,60,False
CHEMBL484121,7,42,5.748292887475756,13,60,False
CHEMBL484321,7,42,5.748292887475756,14,60,False
CHEMBL521472,7,42,5.338427278200785,39,60,False
CHEMBL518986,7,42,5.494255702760484,29,60,False
CHEMBL490266,7,42,5.693134406672584,16,60,False
CHEMBL490267,7,42,5.693134406672584,17,60,False
CHEMBL483526,7,42,5.32098824818929,40,60,False
CHEMBL522082,7,42,5.246660447385576,47,60,False
CHEMBL490773,7,42,5.197282114823659,51,60,False
CHEMBL521184,7,42,5.570914406091448,22,60,False
CHEMBL150,7,42,5.264693371454874,46,60,False
CHEMBL484119,7,42,5.76143563773897,11,60,False
CHEMBL484316,7,42,5.76143563773897,12,60,False
CHEMBL490980,7,42,5.174456741809845,53,60,False
CHEMBL443171,7,42,5.0781435358524325,55,60,False
CHEMBL519982,7,42,5.222594532966614,48,60,False
CHEMBL28,7,42,5.276061171690623,45,60,False
CHEMBL2315699,7,42,5.810743730598026,8,60,False
CHEMBL2315697,7,42,5.810743730598026,9,60,False
CHEMBL275638,7,42,5.834553478558858,7,60,False
CHEMBL483830,7,42,5.341341197490692,38,60,False
CHEMBL2315410,7,42,5.682240153286193,18,60,False
CHEMBL485258,7,42,5.294531045357386,44,60,False
CHEMBL519395,7,42,5.395716021021207,34,60,False
CHEMBL483831,7,42,5.303253829081854,43,60,False
CHEMBL453504,7,42,5.320365484555563,41,60,False
CHEMBL485485,7,42,5.392889359792074,35,60,False
CHEMBL463054,7,42,5.1999764204025265,50,60,False
CHEMBL2315701,7,42,5.559581359810299,23,60,False
CHEMBL441343,7,42,5.0587052028708985,56,60,False
CHEMBL2315698,7,42,5.544837080425687,25,60,False
CHEMBL2315696,7,42,5.544837080425687,26,60,False
CHEMBL2315409,7,42,5.414590267525779,33,60,False
CHEMBL489146,7,42,5.04812868243172,57,60,False
CHEMBL17329,7,42,5.0996945329507195,54,60,False
CHEMBL556684,7,42,5.210338463783264,49,60,False
CHEMBL483531,7,42,4.748984514315923,58,60,False
CHEMBL483532,7,42,4.297767198324204,59,60,False
CHEMBL450484,7,42,4.146453836361567,60,60,False
CHEMBL2316916,7,7,6.556871964795249,1,60,False
CHEMBL5614250,7,7,5.965326405888512,5,60,False
CHEMBL5564149,7,7,6.136598154703776,2,60,False
CHEMBL13983,7,7,5.795009613037109,12,60,False
CHEMBL554993,7,7,6.007450997829437,4,60,False
CHEMBL512054,7,7,6.120474432309469,3,60,False
CHEMBL131921,7,7,5.6267879664897915,21,60,False
CHEMBL2315700,7,7,5.830026566637887,6,60,False
CHEMBL4531006,7,7,5.642734566264682,19,60,False
CHEMBL241609,7,7,5.411242524782817,31,60,False
CHEMBL485475,7,7,5.495115453561147,26,60,False
CHEMBL520144,7,7,5.553192830085754,24,60,False
CHEMBL491174,7,7,5.7429903837045035,16,60,False
CHEMBL243664,7,7,5.506184205611547,25,60,False
CHEMBL4539558,7,7,5.633075290097131,20,60,False
CHEMBL490960,7,7,5.35041242202123,37,60,False
CHEMBL483428,7,7,5.414245385328929,30,60,False
CHEMBL489139,7,7,5.2635785349210105,47,60,False
CHEMBL483525,7,7,5.56913334886233,22,60,False
CHEMBL521470,7,7,5.318891002734502,40,60,False
CHEMBL242741,7,7,5.5675721482435865,23,60,False
CHEMBL484121,7,7,5.795213970926072,10,60,False
CHEMBL484321,7,7,5.795213970926072,11,60,False
CHEMBL521472,7,7,5.272035644849141,46,60,False
CHEMBL518986,7,7,5.481835838953654,27,60,False
CHEMBL490266,7,7,5.7345542055235965,17,60,False
CHEMBL490267,7,7,5.7345542055235965,18,60,False
CHEMBL483526,7,7,5.435512315034867,28,60,False
CHEMBL522082,7,7,5.198610318899155,53,60,False
CHEMBL490773,7,7,5.272463872432708,45,60,False
CHEMBL521184,7,7,5.4349209638436635,29,60,False
CHEMBL150,7,7,5.251898359457652,50,60,False
CHEMBL484119,7,7,5.7948355624940655,13,60,False
CHEMBL484316,7,7,5.7948355624940655,14,60,False
CHEMBL490980,7,7,5.259235485394796,48,60,False
CHEMBL443171,7,7,5.180737646818161,54,60,False
CHEMBL519982,7,7,5.280231907765071,42,60,False
CHEMBL28,7,7,5.2541703216234845,49,60,False
CHEMBL2315699,7,7,5.822407227811359,8,60,False
CHEMBL2315697,7,7,5.822407227811359,9,60,False
CHEMBL275638,7,7,5.827899068196615,7,60,False
CHEMBL483830,7,7,5.363826207002004,36,60,False
CHEMBL2315410,7,7,5.763710033496221,15,60,False
CHEMBL485258,7,7,5.334933736854129,39,60,False
CHEMBL519395,7,7,5.2796268517971034,43,60,False
CHEMBL483831,7,7,5.292745656172435,41,60,False
CHEMBL453504,7,7,5.27816215356191,44,60,False
CHEMBL485485,7,7,5.336319604714712,38,60,False
CHEMBL463054,7,7,5.222185794512431,52,60,False
CHEMBL2315701,7,7,5.3805610839525855,35,60,False
CHEMBL441343,7,7,5.109590616226196,56,60,False
CHEMBL2315698,7,7,5.405464854694548,32,60,False
CHEMBL2315696,7,7,5.405464854694548,33,60,False
CHEMBL2315409,7,7,5.386510983308156,34,60,False
CHEMBL489146,7,7,5.077421968274646,57,60,False
CHEMBL17329,7,7,5.140321748018264,55,60,False
CHEMBL556684,7,7,5.245216780503591,51,60,False
CHEMBL483531,7,7,4.802921982606252,58,60,False
CHEMBL483532,7,7,4.357236044009526,59,60,False
CHEMBL450484,7,7,4.0457468059327875,60,60,False
CHEMBL2316916,7,123,6.512175056934357,1,60,False
CHEMBL5614250,7,123,5.976195207198461,4,60,False
CHEMBL5564149,7,123,6.114325511455536,2,60,False
CHEMBL13983,7,123,5.772916884422302,10,60,False
CHEMBL554993,7,123,5.8978086777528125,5,60,False
CHEMBL512054,7,123,6.033612072865168,3,60,False
