molecule_chembl_id,name,canonical_smiles,is_known_inhibitor,exact_training_match,max_train_tanimoto,applicability_bin,baseline_predicted_pIC50,baseline_rank,tuned_predicted_pIC50,tuned_rank,rank_change_tuned_minus_baseline
CHEMBL1173655,afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,True,True,1.0,>=0.8 (high / interpolation-like),8.600629939064147,1,8.607087712272765,1,0
CHEMBL554,lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,True,True,1.0,>=0.8 (high / interpolation-like),7.868315813806323,2,7.8828151957194015,2,0
CHEMBL939,gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,True,True,1.0,>=0.8 (high / interpolation-like),7.681089705096349,3,7.666465824180179,3,0
CHEMBL553,erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,True,True,1.0,>=0.8 (high / interpolation-like),7.646334171295166,4,7.654910829861959,4,0
CHEMBL2316916,,COc1ccc(Cc2nc(-c3cc(Br)c(OCCCN(C)C)c(Br)c3)c[nH]c2=O)cc1Br,False,False,0.30434782608695654,<0.4 (strong OOD warning),6.924401067892711,5,6.639241706000433,5,0
CHEMBL5614250,,COC(=O)c1c(C(F)(F)F)nc2c(c1-c1ccc(S(=O)(=O)c3ccccc3)cc1)C(=O)CC(C)(C)C2,False,False,0.43037974683544306,0.4-<0.6 (lower),6.085339993105994,6,6.1574010780122554,6,0
CHEMBL5564149,,CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(N)c(C#N)c(-c3cccs3)cc12,False,False,0.30952380952380953,<0.4 (strong OOD warning),5.950292588339912,10,6.119193044900894,7,-3
CHEMBL13983,,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,False,False,0.6388888888888888,0.6-<0.8 (moderate),5.960511224269867,9,5.932621772289276,8,-1
CHEMBL554993,,COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C3=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O)C(=O)c1cc(O)c(C)cc1C2=O,False,False,0.3088235294117647,<0.4 (strong OOD warning),5.974733845525318,8,5.914668312867483,9,1
CHEMBL512054,,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,False,False,0.3333333333333333,<0.4 (strong OOD warning),6.077675625218285,7,5.9026687916119895,10,3
CHEMBL131921,,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,False,False,0.75,0.6-<0.8 (moderate),5.918601233959198,11,5.8746152983578765,11,0
CHEMBL2315700,,CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N[C@@H](CO)C(=O)O)C3=O)[C@@H](C)CC[C@]12C,False,False,0.16822429906542055,<0.4 (strong OOD warning),5.734317705763711,17,5.83989722583029,12,-5
CHEMBL4531006,,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)c(Br)c32)N1,False,False,0.208955223880597,<0.4 (strong OOD warning),5.846571409702301,13,5.785586880842844,13,0
CHEMBL241609,,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,False,False,0.7837837837837838,0.6-<0.8 (moderate),5.759996790091197,15,5.74369409845333,14,-1
CHEMBL485475,,O=c1c(-c2ccc(O)cc2)c(CN2CCCCC2)oc2cc(O)cc(O)c12,False,False,0.4339622641509434,0.4-<0.6 (lower),5.715326558589935,19,5.732817651555652,15,-4
CHEMBL520144,,COc1cc(O)c2c(=O)oc3c(O)c(O)cc(C)c3c2c1,False,False,0.4634146341463415,0.4-<0.6 (lower),5.491105252901713,36,5.73268210140864,16,-20
CHEMBL491174,,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,False,False,0.725,0.6-<0.8 (moderate),5.76474437157313,14,5.731033381938934,17,3
CHEMBL243664,,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,False,False,0.5833333333333334,0.4-<0.6 (lower),5.649171102921168,22,5.714256839249035,18,-4
CHEMBL4539558,,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]cc(Br)c32)N1,False,False,0.22727272727272727,<0.4 (strong OOD warning),5.853308572769165,12,5.7099654595057165,19,7
CHEMBL490960,,CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.46938775510204084,0.4-<0.6 (lower),5.657429333686829,21,5.695550762321268,20,-1
CHEMBL483428,,CCOC(=O)CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.5230769230769231,0.4-<0.6 (lower),5.733743720531464,18,5.666013137503305,21,3
CHEMBL489139,,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.7884615384615384,0.6-<0.8 (moderate),5.693678356806437,20,5.661048379256869,22,2
CHEMBL483525,,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,False,False,0.30434782608695654,<0.4 (strong OOD warning),5.321318497657776,44,5.642614327748617,23,-21
CHEMBL521470,,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,False,False,0.22807017543859648,<0.4 (strong OOD warning),5.4306763105922276,39,5.641518894566429,24,-15
CHEMBL242741,,COc1c(O)cc(O)c2c(=O)c(-c3ccc(O)cc3)coc12,False,False,0.6739130434782609,0.6-<0.8 (moderate),5.5751161940892535,32,5.628858420530954,25,-7
CHEMBL484121,,CC(C)(C)OC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,False,False,0.28431372549019607,<0.4 (strong OOD warning),5.547722323735555,33,5.626034315109253,26,-7
CHEMBL484321,,CC(C)(C)OC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,False,False,0.28431372549019607,<0.4 (strong OOD warning),5.547722323735555,34,5.626034315109253,27,-7
CHEMBL521472,,Cc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.5348837209302325,0.4-<0.6 (lower),5.637755355199178,23,5.617603556300913,28,5
CHEMBL518986,,O=c1c(-c2ccc(O)cc2)c(CSC2=NCCS2)oc2cc(O)cc(O)c12,False,False,0.3898305084745763,<0.4 (strong OOD warning),5.37275134897232,43,5.616052944660186,29,-14
CHEMBL490266,,CC(C)(C)c1ccc(OC[C@@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,False,False,0.30392156862745096,<0.4 (strong OOD warning),5.636928599543041,24,5.612580932776133,30,6
CHEMBL490267,,CC(C)(C)c1ccc(OC[C@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,False,False,0.30392156862745096,<0.4 (strong OOD warning),5.636928599543041,25,5.612580932776133,31,6
CHEMBL483526,,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,False,False,0.3389830508474576,<0.4 (strong OOD warning),5.387497129440308,41,5.610189750875746,32,-9
CHEMBL522082,,COC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.6071428571428571,0.6-<0.8 (moderate),5.631384889682134,26,5.588656685892838,33,7
CHEMBL490773,,CC(C)OC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.576271186440678,0.4-<0.6 (lower),5.586658391952515,31,5.577083313703537,34,3
CHEMBL521184,,O=c1c(-c2ccc(O)cc2)c(CNC2=NCCS2)oc2cc(O)cc(O)c12,False,False,0.38333333333333336,<0.4 (strong OOD warning),5.4600625365575155,38,5.572765600511006,35,-3
CHEMBL150,,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,False,False,0.7837837837837838,0.6-<0.8 (moderate),5.59717073059082,30,5.5701316497978715,36,6
CHEMBL484119,,COC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,False,False,0.31958762886597936,<0.4 (strong OOD warning),5.607502209345499,28,5.565539372444153,37,9
CHEMBL484316,,COC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,False,False,0.31958762886597936,<0.4 (strong OOD warning),5.607502209345499,29,5.565539372444153,38,9
CHEMBL490980,,NC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.5263157894736842,0.4-<0.6 (lower),5.536058418909708,35,5.5570273615774655,39,4
CHEMBL443171,,O=C(O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,False,False,0.5636363636363636,0.4-<0.6 (lower),5.62158129231135,27,5.5504438072606765,40,13
CHEMBL519982,,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,False,False,0.3829787234042553,<0.4 (strong OOD warning),5.288320570945739,47,5.47137385886813,41,-6
CHEMBL28,,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,False,False,0.5555555555555556,0.4-<0.6 (lower),5.485486919323604,37,5.409030093851326,42,5
CHEMBL2315699,,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,False,False,0.18627450980392157,<0.4 (strong OOD warning),5.1402599068482715,51,5.380620009766685,43,-8
CHEMBL2315697,,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,False,False,0.18627450980392157,<0.4 (strong OOD warning),5.1402599068482715,52,5.380620009766685,44,-8
CHEMBL275638,,O=c1cc(-c2ccccc2)oc2ccccc12,False,False,0.5277777777777778,0.4-<0.6 (lower),5.383798552354177,42,5.358640038471454,45,3
CHEMBL483830,,O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,False,False,0.8648648648648649,>=0.8 (high / interpolation-like),5.3204477238655095,45,5.3392640480730265,46,1
CHEMBL2315410,,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C2=O)[C@@H]1C,False,False,0.2,<0.4 (strong OOD warning),5.072843846877416,53,5.327660626305474,47,-6
CHEMBL485258,,O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,False,False,0.8918918918918919,>=0.8 (high / interpolation-like),5.290462018648784,46,5.319583876587095,48,2
CHEMBL519395,,COc1cc(O)c(C(=O)O)c(C2=C(C)C[C@@H](O)C2=O)c1,False,False,0.27692307692307694,<0.4 (strong OOD warning),5.742856600814395,16,5.3064697493447195,49,33
CHEMBL483831,,O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,False,False,0.6086956521739131,0.6-<0.8 (moderate),5.240493188540141,48,5.279241983621787,50,2
CHEMBL453504,,O=CN/C=C/c1ccc(O)c(O)c1O,False,False,0.6060606060606061,0.6-<0.8 (moderate),5.187543915112813,50,5.261799138387044,51,1
