metric,level1,level2,level3
recall_1%,0.5,0.5,0.25
enrichment_factor_1%,47.50000000000001,47.50000000000001,23.750000000000004
recall_5%,1.0,1.0,1.0
enrichment_factor_5%,19.791666666666664,19.791666666666664,19.791666666666664
recall_10%,1.0,1.0,1.0
enrichment_factor_10%,9.895833333333332,9.895833333333332,9.895833333333332
roc_auc,0.9925690021231421,0.9909766454352442,0.9803609341825903
pr_auc,0.6007326007326007,0.520673076923077,0.23596491228070177
median_positive_rank,5.0,6.5,12.5
median_positive_max_train_tanimoto,0.9116004962779156,0.822192110809997,0.5973915989159891
