metric,level1,level2,change
recall_1%,0.5,0.5,0.0
enrichment_factor_1%,47.50000000000001,47.50000000000001,0.0
recall_5%,1.0,1.0,0.0
enrichment_factor_5%,19.791666666666664,19.791666666666664,0.0
recall_10%,1.0,1.0,0.0
enrichment_factor_10%,9.895833333333332,9.895833333333332,0.0
roc_auc,0.9925690021231421,0.9909766454352442,-0.0015923566878979223
pr_auc,0.6007326007326007,0.520673076923077,-0.08005952380952375
median_positive_rank,5.0,6.5,1.5
mean_positive_rank,6.0,6.75,0.75
median_positive_max_train_tanimoto,0.9116004962779156,0.822192110809997,-0.08940838546791863
