molecule_chembl_id,name,source,canonical_smiles,MW,cLogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,HeavyAtoms,QED,ESOL_logS,Lipinski_violations,Veber_violations,Lipinski_ok,Veber_ok,ADMET_ok
CHEMBL1173655,afatinib,positive_control,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,485.947,4.39,88.61,2,7,8,3,34,0.4573,-5.439,0,0,True,True,True
CHEMBL553,erlotinib,positive_control,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.443,3.405,74.73,1,7,10,3,29,0.4179,-4.173,0,0,True,True,True
CHEMBL939,gefitinib,positive_control,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,4.276,68.74,1,7,8,3,31,0.5179,-5.158,0,0,True,True,True
CHEMBL554,lapatinib,positive_control,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,581.069,6.139,106.35,2,8,11,5,40,0.1795,-7.084,2,1,False,False,False
CHEMBL2316916,,chembl_nonmodeled,COc1ccc(Cc2nc(-c3cc(Br)c(OCCCN(C)C)c(Br)c3)c[nH]c2=O)cc1Br,630.175,5.654,67.45,1,5,9,3,32,0.3099,-7.132,2,0,False,True,False
CHEMBL484119,,chembl_nonmodeled,COC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,426.385,1.667,142.66,1,9,9,2,31,0.2081,-3.202,0,1,True,False,False
CHEMBL484316,,chembl_nonmodeled,COC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,426.385,1.667,142.66,1,9,9,2,31,0.2081,-3.202,0,1,True,False,False
CHEMBL13983,,chembl_nonmodeled,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,410.493,3.335,77.23,3,3,4,2,30,0.6769,-4.493,0,0,True,True,True
CHEMBL243664,,chembl_nonmodeled,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,284.267,2.88,79.9,2,5,2,3,21,0.756,-3.849,0,0,True,True,True
CHEMBL554993,,chembl_nonmodeled,COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C3=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O)C(=O)c1cc(O)c(C)cc1C2=O,618.547,1.094,228.35,7,13,3,3,45,0.1708,-4.462,3,1,False,False,False
CHEMBL519395,,chembl_nonmodeled,COc1cc(O)c(C(=O)O)c(C2=C(C)C[C@@H](O)C2=O)c1,278.26,1.206,104.06,3,5,3,1,20,0.7673,-2.349,0,0,True,True,True
CHEMBL556684,,chembl_nonmodeled,COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(O)c1C2=O,300.266,1.896,104.06,3,6,1,2,22,0.5929,-3.234,0,0,True,True,True
CHEMBL512054,,chembl_nonmodeled,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,336.296,-1.076,144.52,5,8,1,1,24,0.4356,-1.366,0,1,True,False,False
CHEMBL463054,,chembl_nonmodeled,COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)cc1C2=O,284.267,2.19,83.83,2,5,1,2,21,0.7153,-3.339,0,0,True,True,True
CHEMBL490266,,chembl_nonmodeled,CC(C)(C)c1ccc(OC[C@@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,544.564,4.397,142.66,1,9,10,3,40,0.1291,-5.641,1,1,True,False,False
CHEMBL490267,,chembl_nonmodeled,CC(C)(C)c1ccc(OC[C@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,544.564,4.397,142.66,1,9,10,3,40,0.1291,-5.641,1,1,True,False,False
CHEMBL5564149,,chembl_nonmodeled,CCOC(=O)c1nn(-c2ccccc2)c(=O)c2c(N)c(C#N)c(-c3cccs3)cc12,416.462,3.745,111.0,1,7,4,4,30,0.4006,-5.035,0,0,True,True,True
CHEMBL484121,,chembl_nonmodeled,CC(C)(C)OC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,468.466,2.836,142.66,1,9,9,2,34,0.1931,-4.176,0,1,True,False,False
CHEMBL484321,,chembl_nonmodeled,CC(C)(C)OC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,468.466,2.836,142.66,1,9,9,2,34,0.1931,-4.176,0,1,True,False,False
CHEMBL521470,,chembl_nonmodeled,O=C1C[C@H](O)[C@@H]2c3c(ccc(O)c31)-c1ccc(O)c3c1[C@@]2(O)CCC3=O,352.342,1.973,115.06,4,6,0,2,26,0.5762,-3.609,0,0,True,True,True
CHEMBL483531,,chembl_nonmodeled,COc1cc(O)c(C(=O)O)c(-c2cc(O)c(O)cc2C)c1,290.271,2.486,107.22,4,5,3,2,21,0.6469,-3.43,0,0,True,True,True
CHEMBL520144,,chembl_nonmodeled,COc1cc(O)c2c(=O)oc3c(O)c(O)cc(C)c3c2c1,288.255,2.38,100.13,3,6,1,3,21,0.3609,-3.554,0,0,True,True,True
CHEMBL485475,,chembl_nonmodeled,O=c1c(-c2ccc(O)cc2)c(CN2CCCCC2)oc2cc(O)cc(O)c12,367.401,3.563,94.14,3,6,3,3,27,0.6552,-4.603,0,0,True,True,True
CHEMBL483532,,chembl_nonmodeled,Cc1cc(O)c(O)cc1-c1cc(O)cc(O)c1C(=O)O,276.244,2.183,118.22,5,5,2,2,20,0.5364,-3.24,0,0,True,True,True
CHEMBL483526,,chembl_nonmodeled,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,272.256,2.674,79.9,2,5,1,3,20,0.5256,-3.665,0,0,True,True,True
CHEMBL453504,,chembl_nonmodeled,O=CN/C=C/c1ccc(O)c(O)c1O,195.174,0.52,89.79,4,4,3,1,14,0.4178,-1.497,0,0,True,True,True
CHEMBL485485,,chembl_nonmodeled,O=CN/C=C/c1cccc(O)c1O,179.175,0.814,69.56,3,3,3,1,13,0.4748,-1.608,0,0,True,True,True
CHEMBL491174,,chembl_nonmodeled,COc1cc(O)c2c(=O)c(-c3ccc(O)cc3)coc2c1,284.267,2.88,79.9,2,5,2,3,21,0.756,-3.849,0,0,True,True,True
CHEMBL483525,,chembl_nonmodeled,Cc1cc(O)cc2oc(=O)c3c(O)cc(OS(=O)(=O)O)cc3c12,338.293,1.847,134.27,3,7,2,3,23,0.3659,-3.42,0,0,True,True,True
CHEMBL131921,,chembl_nonmodeled,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,284.267,2.88,79.9,2,5,2,3,21,0.756,-3.849,0,0,True,True,True
CHEMBL5614250,,chembl_nonmodeled,COC(=O)c1c(C(F)(F)F)nc2c(c1-c1ccc(S(=O)(=O)c3ccccc3)cc1)C(=O)CC(C)(C)C2,517.525,5.542,90.4,0,6,4,3,36,0.4222,-6.646,2,0,False,True,False
CHEMBL519982,,chembl_nonmodeled,Cc1cc(O)cc2oc(=O)c3c(O)cc(O)cc3c12,258.229,2.371,90.9,3,5,0,3,19,0.4251,-3.48,0,0,True,True,True
CHEMBL2315700,,chembl_nonmodeled,CC1=CCC[C@H]2[C@](C)(CC3=C(O)C(=O)C=C(N[C@@H](CO)C(=O)O)C3=O)[C@@H](C)CC[C@]12C,431.529,3.058,123.93,4,6,6,0,31,0.3763,-4.046,0,0,True,True,True
CHEMBL441343,,chembl_nonmodeled,O=C(O)c1ccc(O)cc1,138.122,1.09,57.53,2,2,1,1,10,0.6103,-1.761,0,0,True,True,True
CHEMBL4539558,,chembl_nonmodeled,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]cc(Br)c32)N1,324.138,0.276,109.87,5,3,0,1,19,0.4421,-2.218,0,0,True,True,True
CHEMBL242741,,chembl_nonmodeled,COc1c(O)cc(O)c2c(=O)c(-c3ccc(O)cc3)coc12,300.266,2.585,100.13,3,6,2,3,22,0.6723,-3.737,0,0,True,True,True
CHEMBL522082,,chembl_nonmodeled,COC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,328.276,2.363,117.2,3,7,2,3,24,0.6181,-3.726,0,0,True,True,True
CHEMBL450484,,chembl_nonmodeled,O=C(O)/C=C/c1cc(O)ccc1O,180.159,1.196,77.76,3,3,2,1,13,0.4716,-1.92,0,0,True,True,True
CHEMBL483428,,chembl_nonmodeled,CCOC(=O)CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,402.424,3.373,117.2,3,8,6,3,28,0.5374,-4.487,0,0,True,True,True
CHEMBL485258,,chembl_nonmodeled,O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,365.385,3.708,101.23,4,5,6,3,27,0.5312,-4.539,0,0,True,True,True
CHEMBL489139,,chembl_nonmodeled,CCOC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,342.303,2.754,117.2,3,7,3,3,25,0.6264,-3.973,0,0,True,True,True
CHEMBL275638,,chembl_nonmodeled,O=c1cc(-c2ccccc2)oc2ccccc12,222.243,3.46,30.21,0,2,1,3,17,0.6308,-4.028,0,0,True,True,True
CHEMBL241609,,chembl_nonmodeled,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,286.239,2.282,111.13,4,6,1,3,21,0.5106,-3.55,0,0,True,True,True
CHEMBL521472,,chembl_nonmodeled,Cc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,284.267,2.885,90.9,3,5,1,3,21,0.6388,-3.918,0,0,True,True,True
CHEMBL490773,,chembl_nonmodeled,CC(C)OC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,356.33,3.142,117.2,3,7,3,3,26,0.6171,-4.286,0,0,True,True,True
CHEMBL28,,chembl_nonmodeled,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,270.24,2.577,90.9,3,5,1,3,20,0.6318,-3.665,0,0,True,True,True
CHEMBL150,,chembl_nonmodeled,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,286.239,2.282,111.13,4,6,1,3,21,0.5459,-3.55,0,0,True,True,True
CHEMBL17329,,chembl_nonmodeled,COC(=O)/C=C/c1cc(O)ccc1O,194.186,1.284,66.76,2,4,2,1,14,0.4226,-2.038,0,0,True,True,True
CHEMBL490980,,chembl_nonmodeled,NC(=O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,313.265,1.676,133.99,4,6,2,3,23,0.5684,-3.221,0,0,True,True,True
CHEMBL489146,,chembl_nonmodeled,CC(=O)N/C=C/c1cc(O)ccc1O,193.202,1.205,69.56,3,3,2,1,14,0.618,-1.982,0,0,True,True,True
CHEMBL443171,,chembl_nonmodeled,O=C(O)c1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,314.249,2.275,128.2,4,6,2,3,23,0.5708,-3.604,0,0,True,True,True
CHEMBL483830,,chembl_nonmodeled,O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,397.383,3.12,141.69,6,7,6,3,29,0.3485,-4.332,1,1,True,False,False
CHEMBL4531006,,chembl_nonmodeled,N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)c(Br)c32)N1,403.034,1.038,109.87,5,3,0,1,20,0.4179,-3.178,0,0,True,True,True
CHEMBL490960,,chembl_nonmodeled,CSCc1oc2cc(O)cc(O)c2c(=O)c1-c1ccc(O)cc1,330.361,3.44,90.9,3,6,3,3,23,0.6813,-4.372,0,0,True,True,True
CHEMBL521184,,chembl_nonmodeled,O=c1c(-c2ccc(O)cc2)c(CNC2=NCCS2)oc2cc(O)cc(O)c12,384.413,2.769,115.29,4,8,3,3,27,0.5487,-4.208,0,0,True,True,True
CHEMBL2315697,,chembl_nonmodeled,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,443.584,5.032,103.7,3,5,9,0,32,0.341,-5.166,1,0,True,True,True
CHEMBL483831,,chembl_nonmodeled,O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,381.384,3.414,121.46,5,6,6,3,28,0.4148,-4.435,0,0,True,True,True
CHEMBL2315699,,chembl_nonmodeled,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C2=O)[C@@H]1C,443.584,5.032,103.7,3,5,9,0,32,0.341,-5.166,1,0,True,True,True
CHEMBL518986,,chembl_nonmodeled,O=c1c(-c2ccc(O)cc2)c(CSC2=NCCS2)oc2cc(O)cc(O)c12,401.465,3.913,103.26,3,8,3,3,27,0.6112,-5.035,0,0,True,True,True
CHEMBL2315701,,chembl_nonmodeled,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(NCC(=O)O)C1=O,401.503,4.008,103.7,3,5,8,0,29,0.4194,-4.326,0,0,True,True,True
CHEMBL2315409,,chembl_nonmodeled,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C1=O,445.556,3.757,123.93,4,6,9,0,32,0.3146,-4.375,0,0,True,True,True
CHEMBL2315410,,chembl_nonmodeled,CC1=CCC[C@](C)(CC/C(C)=C/CC2=C(O)C(=O)C=C(N[C@@H](C(=O)O)[C@@H](C)O)C2=O)[C@@H]1C,445.556,3.757,123.93,4,6,9,0,32,0.3146,-4.375,0,0,True,True,True
CHEMBL2315696,,chembl_nonmodeled,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@H](C(=O)O)C(C)C)C1=O,443.584,5.032,103.7,3,5,9,0,32,0.341,-5.166,1,0,True,True,True
CHEMBL2315698,,chembl_nonmodeled,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(N[C@@H](C(=O)O)C(C)C)C1=O,443.584,5.032,103.7,3,5,9,0,32,0.341,-5.166,1,0,True,True,True
