molecule_chembl_id,name,source,affinity_kcal_mol,note,affinity_rank
CHEMBL554993,,chembl_nonmodeled,-9.936,,1
CHEMBL490267,,chembl_nonmodeled,-9.743,,2
CHEMBL521470,,chembl_nonmodeled,-9.518,,3
CHEMBL13983,,chembl_nonmodeled,-9.22,,4
CHEMBL5564149,,chembl_nonmodeled,-9.079,,5
CHEMBL483525,,chembl_nonmodeled,-8.841,,6
CHEMBL554,lapatinib,positive_control,-8.819,,7
CHEMBL556684,,chembl_nonmodeled,-8.657,,8
CHEMBL243664,,chembl_nonmodeled,-8.644,,9
CHEMBL1173655,afatinib,positive_control,-8.42,,10
CHEMBL939,gefitinib,positive_control,-8.188,,11
CHEMBL490266,,chembl_nonmodeled,-8.005,,12
CHEMBL484121,,chembl_nonmodeled,-7.884,,13
CHEMBL2316916,,chembl_nonmodeled,-7.735,,14
CHEMBL484119,,chembl_nonmodeled,-7.438,,15
CHEMBL484316,,chembl_nonmodeled,-7.091,,16
CHEMBL553,erlotinib,positive_control,-7.014,,17
CHEMBL453504,,chembl_nonmodeled,-6.519,,18
CHEMBL485485,,chembl_nonmodeled,-6.491,,19
CHEMBL4539558,,chembl_nonmodeled,-5.951,,20
