molecule_chembl_id,name,source,ensemble_equal_pred,affinity_kcal_mol,ADMET_ok,Lipinski_violations,Veber_violations,MW,cLogP,TPSA,HBD,HBA,QED,ESOL_logS,z_activity,z_affinity,m7_score,m7_rank
CHEMBL1173655,afatinib,positive_control,7.954500550031662,-8.42,True,0,0,485.947,4.39,88.61,2,7,0.4573,-5.439,1.968429982235703,0.23505379082651906,1.2547311283658071,1
CHEMBL554,lapatinib,positive_control,7.7591827834929745,-8.819,False,2,1,581.069,6.139,106.35,2,8,0.1795,-7.084,1.7088341761838801,0.5952860264315957,1.0330028960214188,2
CHEMBL939,gefitinib,positive_control,7.591343036512534,-8.188,True,0,0,446.91,4.276,68.74,1,7,0.5179,-5.158,1.4857592599739855,0.0255954483193077,0.950558264482785,3
CHEMBL553,erlotinib,positive_control,7.697808648347855,-7.014,True,0,0,393.443,3.405,74.73,1,7,0.4179,-4.173,1.6272621391588968,-1.0343359917818429,0.7033302720448955,4
CHEMBL243664,,chembl_nonmodeled,6.91672876894474,-8.644,True,0,0,284.267,2.88,79.9,2,5,0.756,-3.849,0.5891330202476935,0.43728943186796526,0.6257533396842363,5
CHEMBL521470,,chembl_nonmodeled,6.542211439450583,-9.518,True,0,0,352.342,1.973,115.06,4,6,0.5762,-3.609,0.09136402691264917,1.2263695670028936,0.6135928835571927,6
CHEMBL13983,,chembl_nonmodeled,6.385936510582765,-9.22,True,0,0,410.493,3.335,77.23,3,3,0.6769,-4.493,-0.11634015097173629,0.9573239374031126,0.42902710573506564,7
CHEMBL5564149,,chembl_nonmodeled,6.308663566708565,-9.079,True,0,0,416.462,3.745,111.0,1,7,0.4006,-5.035,-0.21904321023002873,0.8300238240689881,0.33948554210568205,8
CHEMBL554993,,chembl_nonmodeled,6.159132144451141,-9.936,False,3,1,618.547,1.094,228.35,7,13,0.1708,-4.462,-0.4177846292975175,1.6037557185891627,0.27223440092799006,9
CHEMBL2316916,,chembl_nonmodeled,7.006357571780681,-7.735,False,2,0,630.175,5.654,67.45,1,5,0.3099,-7.132,0.7082581860223459,-0.3833900221796883,0.23911208635726647,10
CHEMBL490267,,chembl_nonmodeled,5.77711383431866,-9.743,False,1,1,544.564,4.397,142.66,1,9,0.1291,-5.641,-0.925523136156561,1.42950804572756,-0.03390915436001252,11
CHEMBL484119,,chembl_nonmodeled,6.569793452521165,-7.438,False,0,1,426.385,1.667,142.66,1,9,0.2081,-3.202,0.12802313397944814,-0.651532814096249,-0.13144827723915062,12
CHEMBL483525,,chembl_nonmodeled,5.684914855062962,-8.841,True,0,0,338.293,1.847,134.27,3,7,0.3659,-3.42,-1.0480643097588993,0.6151484554624506,-0.13948761824071448,13
CHEMBL556684,,chembl_nonmodeled,5.736640058755874,-8.657,True,0,0,300.266,1.896,104.06,3,6,0.5929,-3.234,-0.9793166162755385,0.4490263217498348,-0.1549504116128188,14
CHEMBL484316,,chembl_nonmodeled,6.458876122732957,-7.091,False,0,1,426.385,1.667,142.66,1,9,0.2081,-3.202,-0.01939649989078846,-0.9648174901738458,-0.299143496997548,15
CHEMBL490266,,chembl_nonmodeled,5.7820181044907795,-8.005,False,1,1,544.564,4.397,142.66,1,9,0.1291,-5.641,-0.9190048967204419,-0.1396238477100878,-0.5013896026732473,16
CHEMBL485485,,chembl_nonmodeled,6.016839997470379,-6.491,True,0,0,179.175,0.814,69.56,3,3,0.4748,-1.608,-0.6069043660471118,-1.5065201001062911,-0.5554082130554432,17
CHEMBL484121,,chembl_nonmodeled,5.702212193009399,-7.884,False,0,1,468.466,2.836,142.66,1,9,0.1931,-4.176,-1.025074509771264,-0.24886720737979787,-0.5871974170995713,18
CHEMBL453504,,chembl_nonmodeled,5.699448763132095,-6.519,True,0,0,195.174,0.52,89.79,4,4,0.4178,-1.497,-1.0287473697428855,-1.4812406449761097,-0.7587458783642758,19
CHEMBL4539558,,chembl_nonmodeled,5.719675418257713,-5.951,True,0,0,324.138,0.276,109.87,5,3,0.4421,-2.218,-1.0018642298518343,-1.9940524490454914,-0.8991478496395646,20
