molecule_chembl_id,canonical_smiles,source,is_positive_control,name,rf_pred,transformer_pred,ensemble_equal_pred,ensemble_selected_pred,rank_selected,RandomForest_pred,XGBoost_pred,GCN_pred,GIN_pred,Transformer_pred,RF_TF_diff,ADMET_ok,MW,cLogP,TPSA,HBD,HBA,QED,ESOL_logS,Lipinski_violations,Veber_violations,affinity_kcal_mol,m7_score,m7_rank,activity_high,docking_hit,consensus_ok,confidence_tier
CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,positive_control,True,afatinib,8.38026021718979,7.528741,7.954500550031662,8.252532388567925,1,8.38026021718979,8.002869,7.5051603,7.562621,7.528741,0.8515192171897894,True,485.947,4.39,88.61,2,7,0.4573,-5.439,0,0,-8.42,1.2547311283658071,1.0,True,True,True,high
CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,positive_control,True,erlotinib,8.007646372318268,7.387971,7.697808648347855,7.914695078969002,2,8.007646372318268,8.096432,7.1103706,7.247262,7.387971,0.6196753723182677,True,393.443,3.405,74.73,1,7,0.4179,-4.173,0,0,-7.014,0.7033302720448955,4.0,True,True,True,high
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,positive_control,True,gefitinib,7.767821056087812,7.414865,7.591343036512534,7.714877721740803,3,7.767821056087812,7.4853654,7.478816,7.0906262,7.414865,0.35295605608781244,True,446.91,4.276,68.74,1,7,0.5179,-5.158,0,0,-8.188,0.950558264482785,3.0,True,True,True,high
CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,positive_control,True,lapatinib,7.600286190765245,7.9180794,7.7591827834929745,7.647955216267279,4,7.600286190765245,7.7110066,7.42372,7.664469,7.9180794,0.31779320923475485,False,581.069,6.139,106.35,2,8,0.1795,-7.084,2,1,-8.819,1.0330028960214188,2.0,True,True,True,mid
CHEMBL2316916,COc1ccc(Cc2nc(-c3cc(Br)c(OCCCN(C)C)c(Br)c3)c[nH]c2=O)cc1Br,chembl_nonmodeled,False,,6.532910150885582,7.479805,7.006357571780681,6.674944400995969,5,6.532910150885582,6.366277,6.9295864,6.5935836,7.479805,0.9468948491144182,False,630.175,5.654,67.45,1,5,0.3099,-7.132,2,0,-7.735,0.2391120863572664,10.0,True,True,True,mid
CHEMBL484119,COC[C@@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,chembl_nonmodeled,False,,6.168853262464205,6.9707336,6.569793452521165,6.289135343323151,6,6.168853262464205,5.8454127,5.9469285,5.6512694,6.9707336,0.8018803375357946,False,426.385,1.667,142.66,1,9,0.2081,-3.202,0,1,-7.438,-0.1314482772391506,12.0,True,True,True,mid
CHEMBL484316,COC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1,chembl_nonmodeled,False,,6.168853262464205,6.748899,6.458876122732957,6.2558602159122625,7,6.168853262464205,5.8454127,5.9469285,5.6512694,6.748899,0.5800457375357944,False,426.385,1.667,142.66,1,9,0.2081,-3.202,0,1,-7.091,-0.299143496997548,15.0,False,True,True,mid
CHEMBL13983,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCC1CCN(C)CC1,chembl_nonmodeled,False,,6.169104123155275,6.602769,6.385936510582765,6.234153898988167,8,6.169104123155275,6.259014,6.43192,6.45728,6.602769,0.4336648768447251,True,410.493,3.335,77.23,3,3,0.6769,-4.493,0,0,-9.22,0.4290271057350656,7.0,False,True,True,mid
CHEMBL243664,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,chembl_nonmodeled,False,,5.850280352830887,7.983177,6.91672876894474,6.170214925348759,9,5.850280352830887,5.329157,5.4061155,5.9254,7.983177,2.1328966471691135,True,284.267,2.88,79.9,2,5,0.756,-3.849,0,0,-8.644,0.6257533396842363,5.0,True,True,False,mid
CHEMBL554993,COc1cc2c(c(O)c1-c1c(OC)cc(O)c3c1C(=O)C1=C(C3=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O)C(=O)c1cc(O)c(C)cc1C2=O,chembl_nonmodeled,False,,6.102982802391052,6.2152815,6.159132144451141,6.119827664613724,10,6.102982802391052,5.563342,5.4320297,5.1691065,6.2152815,0.1122986976089475,False,618.547,1.094,228.35,7,13,0.1708,-4.462,3,1,-9.936,0.27223440092799,9.0,False,True,True,mid
CHEMBL519395,COc1cc(O)c(C(=O)O)c(C2=C(C)C[C@@H](O)C2=O)c1,chembl_nonmodeled,False,,6.370335692405701,4.4629154,5.416625556468963,6.0842226873874665,11,6.370335692405701,5.903744,5.021508,4.9039383,4.4629154,1.9074202924057007,True,278.26,1.206,104.06,3,5,0.7673,-2.349,0,0,,,,False,False,False,
CHEMBL556684,COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(O)c1C2=O,chembl_nonmodeled,False,,6.212826893329621,5.260453,5.736640058755874,6.069970902562141,12,6.212826893329621,5.324212,4.851367,5.0817804,5.260453,0.9523738933296206,True,300.266,1.896,104.06,3,6,0.5929,-3.234,0,0,-8.657,-0.1549504116128188,14.0,False,True,True,mid
CHEMBL512054,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)[C@H](O)[C@@H](O)[C@@](C)(O)[C@@H]1O,chembl_nonmodeled,False,,6.2592195099592205,4.745837,5.502528360784053,6.032212200969457,13,6.2592195099592205,5.54647,5.4633093,4.961224,4.745837,1.5133825099592206,False,336.296,-1.076,144.52,5,8,0.4356,-1.366,0,1,,,,False,False,False,
CHEMBL463054,COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)cc1C2=O,chembl_nonmodeled,False,,6.22673975288868,4.898769,5.562754327356815,6.0275441490709785,14,6.22673975288868,5.747999,4.99401,5.283854,4.898769,1.32797075288868,True,284.267,2.19,83.83,2,5,0.7153,-3.339,0,0,,,,False,False,False,
CHEMBL490266,CC(C)(C)c1ccc(OC[C@@H](Cn2ccnc2[N+](=O)[O-])OC(=O)c2ccc(NC=C3C(=O)C=CC3=O)cc2)cc1,chembl_nonmodeled,False,,6.085403282040641,5.478633,5.7820181044907795,5.994387776459398,15,6.085403282040641,5.541756,6.2877593,5.6483984,5.478633,0.6067702820406407,False,544.564,4.397,142.66,1,9,0.1291,-5.641,1,1,-8.005,-0.5013896026732473,16.0,False,True,True,mid
