molecule_chembl_id,n_records,pIC50_median,pIC50_max,pIC50_min,pIC50_std,units,years,assay_ids,flag_duplicate,flag_ambiguous_unit_10_3_uM
CHEMBL131921,1,3.9766051915000054,3.9766051915000054,3.9766051915000054,,ug.mL-1,1992,CHEMBL941404,False,False
CHEMBL150,1,4.979607551262018,4.979607551262018,4.979607551262018,,ug.mL-1,1992,CHEMBL941404,False,False
CHEMBL17329,1,3.9871879202173917,3.9871879202173917,3.9871879202173917,,ug.mL-1,1992,CHEMBL941412,False,False
CHEMBL2315409,1,3.675774442792396,3.675774442792396,3.675774442792396,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2315410,1,3.5697210503444703,3.5697210503444703,3.5697210503444703,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2315696,1,3.3614185638232073,3.3614185638232073,3.3614185638232073,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2315697,1,3.533032520524144,3.533032520524144,3.533032520524144,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2315698,1,3.533032520524144,3.533032520524144,3.533032520524144,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2315699,1,3.4767141574360236,3.4767141574360236,3.4767141574360236,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2315700,1,3.5380999738723053,3.5380999738723053,3.5380999738723053,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2315701,1,3.309222568480699,3.309222568480699,3.309222568480699,,ug.mL-1,2013,CHEMBL2318217,False,False
CHEMBL2316916,1,4.9733863673567535,4.9733863673567535,4.9733863673567535,,ug.mL-1,2019,CHEMBL4337477,False,False
CHEMBL241609,2,5.718168178621849,6.4567288059816805,4.979607551262018,1.044482455847055,ug.mL-1,1992|1992,CHEMBL941404,True,False
CHEMBL242741,1,6.477506158544793,6.477506158544793,6.477506158544793,,ug.mL-1,1992,CHEMBL941404,False,False
CHEMBL243664,1,3.8516664548917054,3.8516664548917054,3.8516664548917054,,ug.mL-1,1992,CHEMBL941404,False,False
CHEMBL275638,1,3.647858086524458,3.647858086524458,3.647858086524458,,ug.mL-1,1992,CHEMBL941404,False,False
CHEMBL28,1,3.9546283775072713,3.9546283775072713,3.9546283775072713,,ug.mL-1,1992,CHEMBL941404,False,False
