activity_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,assay_chembl_id,document_year,pIC50,IC50_nM
2202593,CHEMBL521184,IC50,20.0,ug.mL-1,=,CHEMBL941412,1992,4.283768070462597,52027.376805675114
2202594,CHEMBL485475,IC50,10.0,ug.mL-1,=,CHEMBL941412,1992,4.565140334043527,27218.216608011386
2202595,CHEMBL483428,IC50,4.0,ug.mL-1,=,CHEMBL941412,1992,5.002623882202888,9939.76502395483
2202596,CHEMBL518986,IC50,5.0,ug.mL-1,=,CHEMBL941412,1992,4.904677684831772,12454.38581196367
2202597,CHEMBL490960,IC50,5.0,ug.mL-1,=,CHEMBL941412,1992,4.820018767712711,15134.958424269213
2202598,CHEMBL490980,IC50,10.0,ug.mL-1,=,CHEMBL941412,1992,4.4959118753924825,31921.855298229926
2202599,CHEMBL490773,IC50,10.0,ug.mL-1,=,CHEMBL941412,1992,4.551852387846335,28063.87337580335
2202600,CHEMBL522082,IC50,2.0,ug.mL-1,=,CHEMBL941412,1992,5.215209137298172,6092.434414943525
2202601,CHEMBL489139,IC50,2.0,ug.mL-1,=,CHEMBL941412,1992,5.233380709719109,5842.776721208987
2202602,CHEMBL443171,IC50,2.0,ug.mL-1,=,CHEMBL941412,1992,5.196243908688691,6364.379838917536
2202603,CHEMBL521472,IC50,2.0,ug.mL-1,=,CHEMBL941412,1992,5.152696450555686,7035.639029503964
2202610,CHEMBL17329,IC50,20.0,ug.mL-1,=,CHEMBL941412,1992,3.9871879202173917,102994.0366452782
2202627,CHEMBL489146,IC50,3.0,ug.mL-1,=,CHEMBL941412,1992,4.808890363138632,15527.78956739579
2202628,CHEMBL450484,IC50,8.0,ug.mL-1,=,CHEMBL941412,1992,4.352565975568256,44405.21983359148
2202629,CHEMBL453504,IC50,0.9,ug.mL-1,=,CHEMBL941412,1992,5.336179453437444,4611.269943742511
2202633,CHEMBL485485,IC50,0.3,ug.mL-1,=,CHEMBL941412,1992,5.776156158421916,1674.3407283382153
2202707,CHEMBL241609,IC50,0.1,ug.mL-1,=,CHEMBL941404,1992,6.4567288059816805,349.35840329235356
2202721,CHEMBL483830,IC50,0.01,ug.mL-1,=,CHEMBL941404,1992,7.59920928410215,25.164639654942476
2202722,CHEMBL242741,IC50,0.1,ug.mL-1,=,CHEMBL941404,1992,6.477506158544793,333.03803960488364
2202733,CHEMBL483831,IC50,0.2,ug.mL-1,=,CHEMBL941404,1992,6.2803324737028845,524.4058481740194
2202741,CHEMBL28,IC50,30.0,ug.mL-1,=,CHEMBL941404,1992,3.9546283775072713,111012.4333925399
2202742,CHEMBL150,IC50,3.0,ug.mL-1,=,CHEMBL941404,1992,4.979607551262018,10480.752098770612
2202743,CHEMBL131921,IC50,30.0,ug.mL-1,=,CHEMBL941404,1992,3.9766051915000054,105534.58544255927
2202744,CHEMBL241609,IC50,3.0,ug.mL-1,=,CHEMBL941404,1992,4.979607551262018,10480.752098770612
2202751,CHEMBL243664,IC50,40.0,ug.mL-1,=,CHEMBL941404,1992,3.8516664548917054,140712.780590079
2202752,CHEMBL491174,IC50,4.0,ug.mL-1,=,CHEMBL941404,1992,4.8516664548917054,14071.2780590079
2202760,CHEMBL485258,IC50,0.5,ug.mL-1,=,CHEMBL941404,1992,5.863780710133857,1368.4196121898813
2202761,CHEMBL275638,IC50,50.0,ug.mL-1,=,CHEMBL941404,1992,3.647858086524458,224978.96446682248
2202779,CHEMBL441343,IC50,10.0,ug.mL-1,=,CHEMBL941404,1992,4.140262858286418,72399.76252877887
2340450,CHEMBL484119,IC50,2.3,/uM,=,CHEMBL961515,2008,5.638272163982407,2300.000000000001
2340457,CHEMBL490267,IC50,18.4,/uM,=,CHEMBL961515,2008,4.735182176990463,18400.000000000015
2340458,CHEMBL490266,IC50,1.8,/uM,=,CHEMBL961515,2008,5.7447274948966935,1800.0000000000016
2340459,CHEMBL484321,IC50,213.0,/uM,=,CHEMBL961515,2008,3.671620396561262,213000.00000000017
2340460,CHEMBL484121,IC50,21.3,/uM,=,CHEMBL961515,2008,4.671620396561262,21300.00000000002
2340461,CHEMBL484316,IC50,23.0,/uM,=,CHEMBL961515,2008,4.638272163982407,23000.00000000001
2461682,CHEMBL519982,IC50,5.5,ug.mL-1,=,CHEMBL962866,2008,4.671642323930905,21298.92459793441
2461744,CHEMBL521470,IC50,3.5,ug.mL-1,=,CHEMBL962866,2008,5.002896370846434,9933.530490262307
2461745,CHEMBL519395,IC50,6.5,ug.mL-1,=,CHEMBL962866,2008,4.6315374241510625,23359.447998274976
