compound_name_or_id,canonical_smiles,experimental_pIC50,predicted_pIC50,rank,percentile_rank,known_positive,max_train_tanimoto,exact_training_match,same_scaffold_present_in_training,same_scaffold_train_count,murcko_scaffold
afatinib (CHEMBL1173655),CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,8.979303359985352,8.396518202251858,1,0.21052631578947367,True,0.8048780487804879,False,False,0,c1ccc(Nc2ncnc3cc(OC4CCOC4)ccc23)cc1
CHEMBL5972723,COCC(Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C(C)C)NN3)c3cccnc3)cc12)c1ccccc1,5.06991720199585,8.142895836300319,2,0.42105263157894735,False,0.6976744186046512,False,False,0,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1
CHEMBL5868329,COCC(Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CNNN3)c3cccnc3)cc12)c1ccccc1,5.159705638885498,7.849755913681453,3,0.631578947368421,False,0.7307692307692307,False,False,0,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1
CHEMBL1097368,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1,4.251037120819092,7.833732062975566,4,0.8421052631578947,False,0.543859649122807,False,False,0,c1ccc(CCc2cc3c(Nc4ccc5[nH]ccc5c4)ncnc3[nH]2)cc1
erlotinib (CHEMBL553),C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,7.522878646850586,7.778448141415914,5,1.0526315789473684,True,0.7121212121212122,False,False,0,c1ccc(Nc2ncnc3ccccc23)cc1
CHEMBL5760794,Cc1ncccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NC(CO)c3ccccc3)c2c1)C1=CNNN1,5.3517374992370605,7.754883630540635,6,1.263157894736842,False,0.725,False,False,0,C1=C(C(Nc2ccc3nccc(NCc4ccccc4)c3c2)c2cccnc2)NNN1
CHEMBL3233761,CN(C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,5.92072868347168,7.707583809020027,7,1.4736842105263157,False,0.5921052631578947,False,False,0,c1ccc(Nc2ncnc3sccc23)cc1
gefitinib (CHEMBL939),COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,7.638272285461426,7.684377680142722,8,1.6842105263157894,True,0.9193548387096774,False,False,0,c1ccc(Nc2ncnc3ccc(OCCCN4CCOCC4)cc23)cc1
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.274905681610107,7.681364137861463,9,1.894736842105263,False,0.6222222222222222,False,False,0,O=C1Nc2ncnc(Nc3ccccc3)c2C1=Cc1ccc(C(=O)NCCN2CCOCC2)[nH]1
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.850780963897705,7.673071587880452,10,2.1052631578947367,False,0.759493670886076,False,False,0,O=C1Nc2ncnc(Nc3ccc4c(c3)CCC4)c2C1=Cc1ccc(C(=O)N2CCOCC2)[nH]1
