validation_canonical_smiles,training_canonical_smiles,validation_molecule_chembl_id,training_molecule_chembl_id,validation_inchikey,training_inchikey,validation_scaffold,training_scaffold,tanimoto,smiles_identical,inchikey_identical,scaffolds_identical,stereochemistry_difference
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCCC1,CHEMBL2110732,CHEMBL3680378,LVXJQMNHJWSHET-AATRIKPKSA-N,HNVQCOJZTIBBPB-VOTSOKGWSA-N,O=C(C=CCN1CCCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,O=C(C=CCN1CCCCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,1.0,False,False,False,different_structure
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,CHEMBL3360610,CHEMBL3360609,RWGIYOGVCTYDNX-UHFFFAOYSA-N,JXNSKQIOTGMCHY-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3cc(OCCCCCn4ccnc4)ccc23)cc1,1.0,False,False,False,different_structure
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,CHEMBL3360610,CHEMBL3355882,RWGIYOGVCTYDNX-UHFFFAOYSA-N,CWFMGPWYOACYBH-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3ccc(OCCCCCCn4ccnc4)cc23)cc1,1.0,False,False,False,different_structure
C#Cc1cccc(Nc2ncnc3cc(OCCCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCn4ccnc4[N+](=O)[O-])cc23)c1,CHEMBL3360610,CHEMBL3355881,RWGIYOGVCTYDNX-UHFFFAOYSA-N,SUUQUGFBBWLFFH-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3ccc(OCCCCCn4ccnc4)cc23)cc1,1.0,False,False,False,different_structure
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],CHEMBL3360605,CHEMBL3360604,RDZPGHUQXAWIOQ-UHFFFAOYSA-N,KTFMGSFLXBDJDF-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3cc(OCCCCCn4ccnc4)ccc23)cc1,1.0,False,False,False,different_structure
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCCn1ccnc1[N+](=O)[O-],CHEMBL3360605,CHEMBL3355877,RDZPGHUQXAWIOQ-UHFFFAOYSA-N,YAPKZXYUODCTSV-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3ccc(OCCCCCCn4ccnc4)cc23)cc1,1.0,False,False,False,different_structure
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCCn1ccnc1[N+](=O)[O-],CHEMBL3360605,CHEMBL3355876,RDZPGHUQXAWIOQ-UHFFFAOYSA-N,OTQIVPSVUOXWRB-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3ccc(OCCCCCn4ccnc4)cc23)cc1,1.0,False,False,False,different_structure
COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCCn1ccnc1[N+](=O)[O-],COc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCCCn1ccnc1[N+](=O)[O-],CHEMBL3352899,CHEMBL3360619,WZOUZPGXWHMMHZ-UHFFFAOYSA-N,BHCMEUKLYVNHBF-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3cc(OCCCCCn4ccnc4)ccc23)cc1,1.0,False,False,False,different_structure
C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCn4ccnc4[N+](=O)[O-])cc23)c1,CHEMBL3360608,CHEMBL3355880,KMEXVVGZNMJBQL-UHFFFAOYSA-N,MZKVFCHPEMRDCD-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3ccc(OCCCCn4ccnc4)cc23)cc1,1.0,False,False,False,different_structure
COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCCn1ccnc1[N+](=O)[O-],COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCCn1ccnc1[N+](=O)[O-],CHEMBL3360603,CHEMBL3355875,AQXXXWZJCCNLLD-UHFFFAOYSA-N,FGBTUBUYENCTAY-UHFFFAOYSA-N,c1ccc(Nc2ncnc3cc(OCCCCn4ccnc4)ccc23)cc1,c1ccc(Nc2ncnc3ccc(OCCCCn4ccnc4)cc23)cc1,1.0,False,False,False,different_structure
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,CHEMBL4873506,CHEMBL4859375,GZHCSTJUZKGLGS-UHFFFAOYSA-N,WZVDJOCODASVRT-UHFFFAOYSA-N,N=C(NCCCCCCOc1ccc2ncnc(Nc3ccccc3)c2c1)Nc1cccnc1,N=C(NCCCCCCCOc1ccc2ncnc(Nc3ccccc3)c2c1)Nc1cccnc1,1.0,False,False,False,different_structure
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1,CHEMBL4873506,CHEMBL4852664,GZHCSTJUZKGLGS-UHFFFAOYSA-N,MBJLGAXTBLLONX-UHFFFAOYSA-N,N=C(NCCCCCCOc1ccc2ncnc(Nc3ccccc3)c2c1)Nc1cccnc1,N=C(NCCCCCOc1ccc2ncnc(Nc3ccccc3)c2c1)Nc1cccnc1,1.0,False,False,False,different_structure
